time,vr,vl
0.66,0.1170400000000003,0.1177049999999997
0.665,0.1179200000000003,0.1185899999999997
0.67,0.1188000000000003,0.1194749999999997
0.675,0.1196800000000003,0.1203599999999997
0.68,0.1205600000000003,0.1212449999999997
0.6850000000000001,0.1214400000000003,0.1221299999999997
0.6900000000000001,0.1223200000000003,0.1230149999999997
0.6950000000000001,0.1232000000000003,0.1238999999999997
0.7000000000000001,0.1240800000000003,0.1247849999999997
0.705,0.1249600000000003,0.1256699999999997
0.71,0.1258400000000003,0.1265549999999997
0.715,0.1267200000000003,0.1274399999999997
0.72,0.1276000000000003,0.1283249999999997
0.725,0.1284800000000003,0.1292099999999997
0.73,0.1293600000000003,0.1300949999999997
0.735,0.1302400000000003,0.1309799999999997
0.74,0.1311200000000003,0.1318649999999997
