t,x,y,phi
32.46,23.20882867673309,0.9744648535177503,-5.004830318304731
32.465,23.21111595125933,0.982060189451393,-5.004893136308628
32.47,23.21340311155521,0.9896534313116494,-5.004955486336951
32.475,23.21569015390288,0.9972445804050937,-5.00501737187598
32.48,23.21797707461372,1.004833638030213,-5.005078796386024
32.485,23.22026387002808,1.012420605477464,-5.005139763301612
32.49,23.22255053651509,1.020005484029325,-5.005200276031688
32.495,23.22483707047239,1.027588274960355,-5.005260337959799
32.5,23.22712346832597,1.035168979537243,-5.005319952444287
32.505,23.22940972652988,1.042747599018865,-5.005379122818475
32.51,23.23169584156608,1.050324134656339,-5.005437852390854
32.515,23.23398180994418,1.057898587693073,-5.005496144445265
32.52,23.23626762820123,1.065470959364823,-5.005554002241091
32.525,23.23855329290154,1.073041250899746,-5.005611429013427
32.53,23.24083880063641,1.080609463518446,-5.005668427973274
32.535,23.24312414802399,1.088175598434034,-5.005725002307706
32.54,23.24540933170901,1.095739656852175,-5.005781155180058
32.545,23.2476943483626,1.103301639971142,-5.005836889730097
32.55,23.24997919468212,1.110861548981862,-5.005892209074202
32.555,23.25226386739087,1.118419385067975,-5.005947116305534
32.56,23.25454836323797,1.125975149405879,-5.006001614494211
32.565,23.25683267899815,1.133528843164779,-5.006055706687481
32.57,23.25911681147149,1.141080467506743,-5.006109395909889
32.575,23.26140075748329,1.148630023586744,-5.006162685163449
32.58,23.26368451388385,1.156177512552716,-5.006215577427811
32.585,23.26596807754827,1.163722935545599,-5.006268075660428
32.59,23.26825144537626,1.17126629369939,-5.006320182796718
32.595,23.27053461429198,1.178807588141189,-5.006371901750235
32.6,23.27281758124379,1.186346819991249,-5.006423235412825
32.605,23.27510034320411,1.193883990363022,-5.006474186654792
32.61,23.27738289716922,1.20141910036321,-5.006524758325057
32.615,23.27966524015908,1.208952151091807,-5.006574953251317
32.62,23.28194736921714,1.216483143642151,-5.006624774240202
32.625,23.28422928141015,1.224012079100969,-5.006674224077437
32.63,23.28651097382799,1.231538958548419,-5.006723305527991
32.635,23.28879244358351,1.239063783058144,-5.006772021336237
32.64,23.29107368781231,1.246586553697312,-5.006820374226102
32.645,23.29335470367259,1.254107271526661,-5.00686836690122
32.65,23.29563548834498,1.261625937600551,-5.006916002045084
32.655,23.29791603903234,1.269142552966998,-5.006963282321197
32.66,23.30019635295962,1.27665711866773,-5.007010210373219
32.665,23.30247642737367,1.284169635738223,-5.007056788825116
32.67,23.30475625954306,1.291680105207748,-5.007103020281304
32.675,23.30703584675794,1.299188528099418,-5.0071489073268
32.68,23.30931518632987,1.306694905430224,-5.007194452527362
32.685,23.31159427559161,1.314199238211086,-5.007239658429634
32.69,23.31387311189701,1.32170152744689,-5.007284527561286
32.695,23.31615169262083,1.329201774136534,-5.007329062431161
32.7,23.31843001515855,1.336699979272971,-5.00737326552941
32.705,23.32070807692626,1.344196143843247,-5.007417139327635
32.71,23.32298587536044,1.351690268828548,-5.007460686279023
32.715,23.32526340791788,1.359182355204236,-5.007503908818486
32.72,23.32754067207544,1.366672403939897,-5.007546809362798
32.725,23.32981766532994,1.374160415999376,-5.007589390310726
32.73,23.33209438519802,1.381646392340819,-5.007631654043171
32.735,23.33437082921592,1.389130333916718,-5.007673602923292
32.74,23.33664699493943,1.396612241673946,-5.007715239296648
32.745,23.33892287994364,1.404092116553798,-5.007756565491322
32.75,23.34119848182284,1.411569959492033,-5.007797583818052
32.755,23.34347379819038,1.419045771418912,-5.007838296570363
32.76,23.34574882667848,1.426519553259236,-5.007878706024696
32.765,23.34802356493813,1.433991305932387,-5.007918814440531
32.77,23.35029801063892,1.441461030352367,-5.007958624060516
32.775,23.35257216146889,1.448928727427833,-5.00799813711059
32.78,23.35484601513441,1.456394398062138,-5.008037355800114
32.785,23.35711956936003,1.463858043153371,-5.008076282321984
32.79,23.35939282188832,1.471319663594388,-5.008114918852766
32.795,23.36166577047976,1.478779260272856,-5.008153267552806
32.8,23.36393841291258,1.486236834071288,-5.008191330566358
32.805,23.36621074698262,1.493692385867079,-5.008229110021703
32.81,23.36848277050322,1.501145916532542,-5.008266608031264
32.815,23.37075448130507,1.508597426934948,-5.008303826691732
32.82,23.37302587723606,1.516046917936558,-5.008340768084172
32.825,23.37529695616117,1.523494390394663,-5.00837743427415
32.83,23.37756771596232,1.530939845161615,-5.008413827311844
32.835,23.37983815453826,1.538383283084868,-5.008449949232157
32.84,23.38210826980441,1.545824705007007,-5.008485802054834
32.845,23.38437805969278,1.55326411176579,-5.008521387784572
32.85,23.38664752215177,1.560701504194176,-5.008556708411136
32.855,23.38891665514612,1.568136883120366,-5.008591765909464
32.86,23.39118545665671,1.57557024936783,-5.008626562239786
32.865,23.3934539246805,1.583001603755348,-5.008661099347725
32.87,23.39572205723038,1.590430947097041,-5.008695379164411
32.875,23.39798985233502,1.597858280202403,-5.00872940360659
32.88,23.40025730803879,1.605283603876336,-5.008763174576724
32.885,23.40252442240162,1.612706918919184,-5.008796693963106
32.89,23.40479119349888,1.620128226126765,-5.008829963639961
32.895,23.40705761942125,1.627547526290403,-5.008862985467551
32.9,23.40932369827463,1.634964820196962,-5.008895761292279
32.905,23.41158942818,1.642380108628877,-5.008928292946795
32.91,23.4138548072733,1.649793392364186,-5.008960582250094
32.915,23.41611983370533,1.657204672176565,-5.00899263100762
32.92,23.41838450564162,1.664613948835354,-5.009024441011371
32.925,23.42064882126234,1.672021223105593,-5.00905601403999
32.93,23.42291277876216,1.679426495748051,-5.009087351858872
32.935,23.42517637635014,1.686829767519259,-5.00911845622026
32.94,23.42743961224965,1.694231039171536,-5.009149328863344
32.945,23.42970248469821,1.701630311453027,-5.009179971514355
32.95,23.43196499194744,1.709027585107727,-5.009210385886668
32.955,23.43422713226288,1.716422860875514,-5.009240573680891
32.96,23.43648890392396,1.723816139492178,-5.009270536584965
32.965,23.43875030522382,1.731207421689451,-5.009300276274254
32.97,23.44101133446925,1.738596708195037,-5.009329794411642
32.975,23.44327198998058,1.745983999732641,-5.009359092647626
32.98,23.44553227009156,1.753369297021997,-5.009388172620406
32.985,23.44779217314926,1.760752600778898,-5.00941703595598
32.99,23.45005169751398,1.768133911715226,-5.009445684268228
32.995,23.45231084155912,1.775513230538978,-5.009474119159013
33,23.45456960367112,1.782890557954297,-5.009502342218261
33.005,23.45682798224932,1.790265894661495,-5.009530355024054
33.01,23.45908597570589,1.797639241357088,-5.009558159142719
33.015,23.4613435824657,1.805010598733818,-5.009585756128912
33.02,23.46360080096625,1.812379967480685,-5.00961314752571
33.025,23.46585762965756,1.81974734828297,-5.009640334864693
33.03,23.46811406700207,1.827112741822265,-5.009667319666031
33.035,23.47037011147455,1.834476148776498,-5.00969410343857
33.04,23.47262576156202,1.841837569819964,-5.009720687679915
33.045,23.47488101576362,1.849197005623346,-5.009747073876516
33.05,23.47713587259054,1.856554456853745,-5.009773263503745
33.055,23.47939033056591,1.863909924174704,-5.009799258025987
33.06,23.48164438822474,1.871263408246237,-5.009825058896718
33.065,23.48389804411381,1.878614909724851,-5.009850667558583
33.07,23.48615129679155,1.885964429263576,-5.009876085443481
33.075,23.488404144828,1.893311967511986,-5.009901313972644
33.08,23.49065658680469,1.900657525116229,-5.009926354556718
33.085,23.49290862131456,1.908001102719047,-5.009951208595838
33.09,23.49516024696187,1.915342700959807,-5.009975877479707
33.095,23.49741146236211,1.922682320474518,-5.010000362587678
33.1,23.49966226614191,1.930019961895864,-5.010024665288827
33.105,23.50191265693898,1.937355625853222,-5.010048786942032
33.11,23.50416263340199,1.94468931297269,-5.010072728896045
33.115,23.5064121941905,1.95202102387711,-5.010096492489573
33.12,23.50866133797487,1.959350759186091,-5.010120079051348
33.125,23.5109100634362,1.966678519516033,-5.010143489900206
33.13,23.5131583692662,1.974004305480153,-5.010166726345155
33.135,23.51540625416718,1.981328117688504,-5.010189789685453
33.14,23.51765371685188,1.988649956748002,-5.010212681210677
33.145,23.51990075604347,1.995969823262449,-5.010235402200801
